Current(mA),Voltage(red)(V),Voltage(yellow)(V),Voltage(green)(V),Voltage(blue)(V),Voltage(ired)(V),Voltage(ph)(V)
0.01,0.83,1.697,2.334,2.4,1.166,0.371
0.02,0.87,1.711,2.375,2.421,1.189,0.384
0.04,0.92,1.733,2.403,2.457,1.198,0.4
0.06,0.97,1.746,2.429,2.478,1.214,0.416
0.08,0.99,1.758,2.452,2.492,1.221,0.43
0.1,1.02,1.768,2.466,2.501,1.226,0.437
0.2,1.09,1.794,2.514,2.541,1.246,0.47
0.4,1.18,1.819,2.571,2.586,1.266,0.498
0.6,1.23,1.836,2.611,2.62,1.277,0.518
0.8,1.28,1.846,2.638,2.647,1.284,0.534
1,1.33,1.855,2.663,2.667,1.292,0.544
1.5,1.41,1.871,2.714,2.712,1.303,0.565
2,1.47,1.881,2.757,2.75,1.311,0.582
3,1.58,1.9,2.822,2.81,1.323,0.605
4,1.64,1.913,2.89,2.86,1.333,0.622
5,1.67,1.924,2.936,2.902,1.34,0.635
6,1.7,1.933,2.975,2.938,1.347,0.647
7,1.71,1.941,3.01,2.971,1.353,0.656
8,1.72,1.949,3.042,3.002,1.358,0.665
9,1.73,1.955,3.069,3.028,1.362,0.672
10,1.74,1.961,3.094,3.056,1.367,0.679
11,1.75,1.966,3.119,3.076,1.371,0.684
12,1.76,1.974,3.142,3.098,1.377,0.691
13,1.77,1.98,3.163,3.12,1.38,0.696
14,1.78,1.984,3.184,3.14,1.384,0.701
15,1.79,1.989,3.201,3.158,1.387,0.705
16,1.794,1.993,3.219,3.169,1.391,0.711
17,1.8,1.997,3.235,3.187,1.393,0.716
