l(red)(nm),V(red)(mV),l(yellow)(nm),V(yellow)(mV),l(green)(nm),V(green)(mV),l(blue)(nm),V(blue)(mV),l(white)(nm),V(white)(mV)
400,0.4,400,0.3,400,0.74,400,45.6,400,55.7
410,0.4,410,0.3,410,1.11,410,69,410,75.9
420,0.4,420,0.3,420,2.04,420,100.8,420,97.8
430,0.4,430,0.3,430,3.43,430,130.2,430,114.7
440,0.4,440,0.3,440,6.25,440,156.5,440,125.9
450,0.4,450,0.3,450,10.17,450,171.3,450,131.5
460,0.4,460,0.3,460,16.26,460,174.1,460,133.1
470,0.4,470,0.3,470,23.6,470,166.7,470,132.2
480,0.4,480,0.3,480,31.8,480,152.4,480,131.9
490,0.4,490,0.3,490,40.4,490,127.7,490,135.8
500,0.4,500,0.4,500,47.2,500,101,500,143.3
510,0.4,510,0.6,510,51.6,510,70,510,154.8
520,0.4,520,1,520,52.2,520,46,520,166.4
530,0.5,530,1.65,530,50,530,27.1,530,177.6
550,0.54,540,2.52,540,43.8,540,14.57,540,185
580,3.05,550,4.07,550,37,550,7.35,550,185.6
600,6.52,560,5.39,560,28.4,560,4.06,560,186.9
610,10.1,570,6.2,570,20.3,570,2.24,570,179.6
620,13.7,580,6.63,580,13.87,580,1.39,580,170
630,18.54,590,6.68,590,9.11,590,1.38,590,155.7
640,21,600,6.31,600,5.58,600,1.37,600,139.5
650,22.2,610,5.6,610,3.56,610,1.37,610,123.2
660,21.7,620,4.61,620,2.29,620,1.37,620,106.1
670,19.05,630,3.4,630,1.55,630,1.37,630,89.7
680,15.25,640,2.42,640,1.16,640,1.37,640,75.2
690,10.5,650,1.6,650,0.92,650,1.37,650,61.9
700,6.32,660,1.06,660,0.92,660,1.37,660,50.2
710,3.62,670,0.83,670,0.92,670,1.37,670,40.2
750,0.7,680,0.68,680,0.92,680,1.37,680,31.5
770,0.33,690,0.68,690,0.92,690,1.37,690,24.8
790,0.5,700,0.68,700,0.92,700,1.37,700,19.7
800,0.5,710,0.68,710,0.92,710,1.37,710,15
,,720,0.68,720,0.92,720,1.37,720,11.58
,,730,0.68,730,0.92,730,1.37,730,8.84
,,740,0.68,740,0.92,740,1.37,740,6.75
,,750,0.68,750,0.92,750,1.37,750,5.3
,,760,0.68,760,0.92,760,1.37,760,4.06
,,770,0.68,770,0.92,770,1.37,770,3.17
,,780,0.68,780,0.92,780,1.37,780,2.49
,,790,0.68,790,0.92,790,1.37,790,1.97
,,800,0.68,800,0.92,800,1.37,800,1.6
