,LOCALITA,DATA,TMEDIA 째C,TMIN 째C,TMAX 째C,PUNTORUGIADA 째C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,PRESSIONEMEDIA mb,PIOGGIA mm,FENOMENI
0,Pavia,01/1/1973,"4,9",1,8,"4,5",97.0,4,"2,6","14,8",0,1030.0,0.0,16,Pioggia 
1,Pavia,02/1/1973,"7,3",5,10,"6,4",94.0,"4,3","1,7",13,0,0.0,0.0,"2,5",Pioggia 
2,Pavia,03/1/1973,"7,8",6,12,"6,7",93.0,"2,9","1,5","7,2",0,0.0,0.0,"4,1",Pioggia 
3,Pavia,04/1/1973,"4,2",1,7,"4,1",99.0,"0,2",0,"3,5",0,0.0,0.0,0,Nebbia 
4,Pavia,05/1/1973,"3,4","-2,2",9,"1,7",89.0,"3,2","0,2","3,5",0,0.0,0.0,0,Nebbia 
5,Pavia,06/1/1973,"1,1",-3,8,"-0,7",88.0,"3,1","0,6","3,5",0,0.0,0.0,0,Nebbia 
6,Pavia,07/1/1973,"-1,9",-4,"0,2","-1,9",100.0,0,"5,2","14,8",0,0.0,0.0,0,Nebbia 
7,Pavia,08/1/1973,"-1,8",-3,2,"-1,8",100.0,"0,2","2,6","9,1",0,0.0,0.0,0,Nebbia 
8,Pavia,09/1/1973,"-2,4",-4,-1,"-2,5",99.0,0,0,0,0,1028.0,0.0,0,Nebbia 
9,Pavia,10/1/1973,"-0,9",-3,2,"-1,1",99.0,"0,8","0,2","7,2",0,0.0,0.0,0,Nebbia 
10,Pavia,11/1/1973,"0,6",-1,4,"-0,6",92.0,"1,9","10,7","16,5",0,0.0,0.0,0,Nebbia 
11,Pavia,12/1/1973,"-1,1",-2,"-0,2","-1,6",96.0,"0,5","0,4","9,1",0,1030.0,0.0,0,Nebbia 
12,Pavia,13/1/1973,"-1,2",-2,"-0,4","-1,9",95.0,1,"3,1","10,7",0,0.0,0.0,0,Nebbia 
13,Pavia,14/1/1973,"-2,1",-3,-1,"-2,8",95.0,1,"3,1","10,7",0,0.0,0.0,0,Nebbia 
14,Pavia,15/1/1973,"-0,9",-2,"0,2","-1,4",96.0,"1,1",0,0,0,0.0,0.0,0,Neve Nebbia 
15,Pavia,16/1/1973,"-0,1",-1,1,"-0,9",94.0,"0,6","3,1","10,7",0,0.0,0.0,0,Neve Nebbia 
16,Pavia,17/1/1973,"0,8",-1,2,"0,4",97.0,"0,8","0,9","9,1",0,0.0,0.0,2,Pioggia Nebbia 
17,Pavia,18/1/1973,"2,3",1,3,"1,1",92.0,"1,3","4,1","10,7",0,0.0,0.0,13,Pioggia Nebbia 
18,Pavia,19/1/1973,"3,6",2,6,"2,4",92.0,1,0,"5,4",0,0.0,0.0,"0,3",Pioggia Nebbia 
19,Pavia,20/1/1973,"4,6",2,8,"3,3",91.0,"1,1","0,7","7,2",0,0.0,0.0,0,Nebbia 
20,Pavia,21/1/1973,"4,3",2,8,"3,8",97.0,"1,9","1,7","9,1",0,0.0,0.0,"7,1",Pioggia Nebbia 
21,Pavia,22/1/1973,"4,9",3,7,"3,9",93.0,"3,2","4,8","16,5",0,0.0,0.0,"24,9",Pioggia 
22,Pavia,23/1/1973,"6,7",4,12,"4,4",85.0,"6,6","4,1",13,0,0.0,0.0,2,
23,Pavia,24/1/1973,"4,4","-1,2",10,"1,9",84.0,"6,3","0,7","3,5",0,0.0,0.0,0,
24,Pavia,25/1/1973,"1,6",-2,6,"-0,5",86.0,"4,8","1,7","9,1",0,0.0,0.0,0,Pioggia Nebbia 
25,Pavia,26/1/1973,"-1,7",-4,"0,6","-1,7",100.0,0,"0,4","3,5",0,1026.0,0.0,0,Nebbia 
26,Pavia,27/1/1973,"-0,3",-2,1,"-0,4",99.0,"0,3","0,9","5,4",0,0.0,0.0,0,Nebbia 
27,Pavia,28/1/1973,"5,3",-1,13,"-2,7",56.0,"5,5","15,6",37,"53,5",0.0,0.0,0,Nebbia 
28,Pavia,29/1/1973,"5,9","-0,2",12,"-3,7",50.0,"9,3","7,2","29,4",0,0.0,0.0,0,
29,Pavia,30/1/1973,"3,8",-2,12,0,0.0,"4,5","1,7",13,0,0.0,0.0,0,
30,Pavia,31/1/1973,"3,6","1,2",6,"1,2",84.0,"2,9","1,3","7,2",0,0.0,0.0,"0,3",Pioggia 
31,Pavia,01/2/1973,"4,4",2,6,"2,9",90.0,"3,4","1,3","18,3",0,0.0,0.0,2,Pioggia 
32,Pavia,02/2/1973,"4,9",2,8,"2,9",87.0,"4,2",3,"14,8",0,1019.0,0.0,0,Pioggia Nebbia 
33,Pavia,03/2/1973,"6,1",2,9,"2,4",77.0,"4,8",2,"7,2",0,0.0,0.0,0,Pioggia 
34,Pavia,04/2/1973,"4,8",-3,12,"1,8",81.0,"2,3",2,"10,7",0,0.0,0.0,0,Nebbia 
35,Pavia,05/2/1973,"3,5",-3,13,"1,4",86.0,"1,9",0,0,0,0.0,0.0,0,Nebbia 
36,Pavia,06/2/1973,"2,5",-3,12,"0,8",89.0,"1,1","1,5","9,1",0,0.0,0.0,0,Nebbia 
37,Pavia,07/2/1973,"1,4",-3,10,"0,9",96.0,"0,2","0,2","3,5",0,0.0,0.0,0,Nebbia 
38,Pavia,08/2/1973,"5,1",-2,14,"2,6",84.0,"3,1","2,4","10,7",0,0.0,0.0,0,Nebbia 
39,Pavia,09/2/1973,5,4,6,"4,6",97.0,"0,5","0,7","5,4",0,0.0,0.0,"0,3",Pioggia Nebbia 
40,Pavia,10/2/1973,"5,8",5,9,"2,7",80.0,"5,3","11,5","34,8","64,8",0.0,0.0,"3,1",Pioggia Nebbia 
41,Pavia,11/2/1973,"5,3",-1,11,"-4,9",48.0,"10,3","14,6","31,3",50,0.0,0.0,0,
42,Pavia,12/2/1973,"5,1","-1,8",12,"-4,1",51.0,"10,1","4,4",13,0,0.0,0.0,0,
43,Pavia,13/2/1973,"1,7","0,4",3,"-0,2",87.0,"4,8","0,6","9,1",0,0.0,0.0,1,Pioggia 
44,Pavia,14/2/1973,"1,9","-2,2",6,"0,1",88.0,"3,5","4,4","9,1",0,0.0,0.0,1,Pioggia Nebbia 
45,Pavia,15/2/1973,"2,8",-1,7,"0,7",86.0,"3,2","0,2","5,4",0,0.0,0.0,0,
46,Pavia,16/2/1973,"2,3",-2,10,"-0,3",83.0,"2,7","3,5","14,8",0,0.0,0.0,0,Nebbia 
47,Pavia,17/2/1973,"0,9",-6,10,"-1,4",85.0,"2,1",0,0,0,0.0,0.0,0,Nebbia 
48,Pavia,18/2/1973,"2,4",-2,9,"-0,5",81.0,"4,8","3,1","27,8",0,1013.0,0.0,0,
49,Pavia,19/2/1973,"2,2",-4,9,"-3,9",64.0,"6,4","1,1","5,4",0,0.0,0.0,0,
50,Pavia,20/2/1973,2,-4,10,"-3,8",65.0,4,"0,4","5,4",0,0.0,0.0,0,Nebbia 
51,Pavia,21/2/1973,"3,1",-4,11,"-2,9",65.0,"3,2","3,5",13,0,0.0,0.0,0,
52,Pavia,22/2/1973,"5,5",1,14,"1,2",74.0,"2,4","0,7","7,2",0,0.0,0.0,0,Pioggia 
53,Pavia,23/2/1973,"7,4",1,14,"-5,8",38.0,"8,7","13,3","33,2",0,0.0,0.0,0,
54,Pavia,24/2/1973,"7,2",2,12,"-7,2",35.0,"9,5","11,7","34,8","53,5",0.0,0.0,0,
55,Pavia,25/2/1973,"5,1",1,10,"-10,4",32.0,"10,5",18,"51,9",0,0.0,0.0,0,
56,Pavia,26/2/1973,"3,1",-5,10,"-9,6",39.0,"10,8","4,1","20,2",0,0.0,0.0,0,
57,Pavia,27/2/1973,"2,2","-5,6",10,"-15,8",25.0,"10,8","24,3","34,8",0,0.0,0.0,0,
58,Pavia,28/2/1973,"1,8",-6,9,"-9,9",41.0,"10,6","3,3","10,7",0,0.0,0.0,0,
59,Pavia,01/3/1973,"3,6",-5,12,"-4,9",54.0,"7,4","6,5",13,0,0.0,0.0,0,
60,Pavia,02/3/1973,"3,9","-1,2",9,"-0,3",74.0,"4,5","2,4","9,1",0,0.0,0.0,0,
61,Pavia,03/3/1973,"5,2",-4,17,"-1,9",60.0,"4,3","2,6","74,1",0,0.0,0.0,0,
62,Pavia,04/3/1973,"6,9",-2,16,"-0,1",61.0,"4,8","2,4","9,1",0,0.0,0.0,0,
63,Pavia,05/3/1973,"7,3","-0,4",15,"1,1",65.0,"3,2","0,7","9,1",0,0.0,0.0,0,
